,Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,k1,bf/2tf,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PB,Lp,Lr,plastic,fcompact,wcompact
227,W,W12X26,W12X26,F,26.0,7.65,12.2,12  1/4 ,6.49,6  1/2 ,0.230,  1/4 ,  1/8 ,0.380,  3/8 ,0.680,1  1/16,  3/4 ,8.54,47.2,204.0,37.2,33.4,5.17,17.3,8.17,5.34,1.51,0.300,607,19.2,11.8,7.03,18.3,1.75,11.8,42.9,49.4,5.333623625433067,14.845796723683607,155.00000000000003,1,1
228,W,W12X22,W12X22,F,22.0,6.48,12.3,12  1/4 ,4.03,4      ,0.260,  1/4 ,  1/8 ,0.425,  7/16,0.725, 15/16,  5/8 ,4.74,41.8,156.0,29.3,25.4,4.91,4.66,3.66,2.31,0.848,0.293,164,12.0,5.12,4.76,14.4,1.04,11.9,35.7,39.7,2.9953065128259877,9.11110732253763,122.08333333333333,1,1
229,W,W12X19,W12X19,F,19.0,5.57,12.2,12  1/8 ,4.01,4      ,0.235,  1/4 ,  1/8 ,0.350,  3/8 ,0.650,  7/8 ,  9/16,5.72,46.2,130.0,24.7,21.3,4.82,3.76,2.98,1.88,0.8220000000000001,0.180,131,11.9,4.17,3.91,12.2,1.02,11.9,35.5,39.5,2.903469284838399,8.584293626386684,102.91666666666667,1,1
230,W,W12X16,W12X16,F,16.0,4.71,12.0,12      ,3.99,4      ,0.220,  1/4 ,  1/8 ,0.265,  1/4 ,0.565, 13/16,  9/16,7.53,49.4,103.0,20.1,17.1,4.67,2.82,2.26,1.41,0.773,0.103,96.9,11.7,3.09,2.93,9.82,0.983,11.7,35.0,39.0,2.7303914320925577,8.02246251152299,83.75000000000001,1,1
231,W,W12X14,W12X14,F,14.0,4.16,11.9,11  7/8 ,3.97,4      ,0.200,  3/16,  1/8 ,0.225,  1/4 ,0.525,  3/4 ,  9/16,8.82,54.3,88.6,17.4,14.9,4.62,2.36,1.9,1.19,0.753,0.0704,80.4,11.6,2.59,2.48,8.49,0.961,11.7,34.8,38.8,2.6597474105636425,7.70599014429387,72.49999999999999,1,1
232,W,W10X112,W10X112,F,112.0,32.9,11.4,11  3/8 ,10.4,10  3/8 ,0.755,  3/4 ,  3/8 ,1.25,1  1/4 ,1.75,1 15/16,1      ,4.17,10.4,716.0,147.0,126.0,4.66,236.0,69.2,45.3,2.68,15.1,6020,26.4,85.8,30.6,73.5,3.08,10.2,51.6,62.0,9.466298884874584,64.11738782837078,612.5,1,1
233,W,W10X100,W10X100,F,100.0,29.3,11.1,11  1/8 ,10.3,10  3/8 ,0.680, 11/16,  3/8 ,1.12,1  1/8 ,1.62,1 13/16,1      ,4.62,11.6,623.0,130.0,112.0,4.6,207.0,61.0,40.0,2.65,10.9,5150,25.7,74.1,26.9,64.2,3.04,10.0,50.9,61.2,9.36033285258121,57.81518802075795,541.6666666666666,1,1
234,W,W10X88,W10X88,F,88.0,26.0,10.8,10  7/8 ,10.3,10  1/4 ,0.605,  5/8 ,  5/16,0.990,1      ,1.49,1 11/16, 15/16,5.18,13.0,534.0,113.0,98.5,4.54,179.0,53.1,34.8,2.63,7.53,4330,25.3,64.4,23.5,55.9,2.99,9.81,50.4,60.7,9.289688831052297,51.21774706710814,470.8333333333333,1,1
235,W,W10X77,W10X77,F,77.0,22.7,10.6,10  5/8 ,10.2,10  1/4 ,0.530,  1/2 ,  1/4 ,0.870,  7/8 ,1.37,1  9/16,  7/8 ,5.86,14.8,455.0,97.6,85.9,4.49,154.0,45.9,30.1,2.6,5.11,3630,24.8,55.0,20.5,48.4,2.95,9.73,49.9,60.1,9.183722798758925,45.2462514281954,406.6666666666667,1,1
236,W,W10X68,W10X68,F,68.0,19.9,10.4,10  3/8 ,10.1,10  1/8 ,0.470,  1/2 ,  1/4 ,0.770,  3/4 ,1.27,1  7/16,  7/8 ,6.58,16.7,394.0,85.3,75.7,4.44,134.0,40.1,26.4,2.59,3.56,3100,24.3,47.3,17.9,42.1,2.92,9.63,49.3,59.4,9.148400787994467,40.62453519326165,355.4166666666667,1,1
237,W,W10X60,W10X60,F,60.0,17.7,10.2,10  1/4 ,10.1,10  1/8 ,0.420,  7/16,  1/4 ,0.680, 11/16,1.18,1  3/8 , 13/16,7.41,18.7,341.0,74.6,66.7,4.39,116.0,35.0,23.0,2.57,2.48,2640,24.0,41.3,15.7,36.8,2.88,9.52,49.0,59.1,9.077756766465553,36.587503451344986,310.8333333333333,1,1
238,W,W10X54,W10X54,F,54.0,15.8,10.1,10  1/8 ,10.0,10      ,0.370,  3/8 ,  3/16,0.615,  5/8 ,1.12,1  5/16, 13/16,8.15,21.2,303.0,66.6,60.0,4.37,103.0,31.3,20.6,2.56,1.82,2320,23.7,36.5,14.0,32.8,2.85,9.49,48.6,58.6,9.042434755701095,33.586737227241635,277.49999999999994,1,1
239,W,W10X49,W10X49,F,49.0,14.4,10.0,10      ,10.0,10      ,0.340,  5/16,  3/16,0.560,  9/16,1.06,1  1/4 , 13/16,8.93,23.1,272.0,60.4,54.6,4.35,93.4,28.3,18.7,2.54,1.39,2070,23.6,33.0,12.8,29.8,2.84,9.44,48.5,58.5,8.97179073417218,31.57518587411713,251.66666666666666,1,1
240,W,W10X45,W10X45,F,45.0,13.3,10.1,10  1/8 ,8.02,8      ,0.350,  3/8 ,  3/16,0.620,  5/8 ,1.12,1  5/16, 13/16,6.47,22.5,248.0,54.9,49.1,4.32,53.4,20.3,13.3,2.01,1.51,1200,19.0,23.6,11.3,27.0,2.27,9.48,42.7,50.7,7.099724163655938,26.894284594408944,228.75,1,1
241,W,W10X39,W10X39,F,39.0,11.5,9.92,9  7/8 ,7.99,8      ,0.315,  5/16,  3/16,0.530,  1/2 ,1.03,1  3/16, 13/16,7.53,25.0,209.0,46.8,42.1,4.27,45.0,17.2,11.3,1.98,0.976,992,18.8,19.9,9.55,23.0,2.24,9.39,42.3,50.3,6.993758131362565,24.213033755641405,195.0,1,1
242,W,W10X33,W10X33,F,33.0,9.71,9.73,9  3/4 ,7.96,8      ,0.290,  5/16,  3/16,0.435,  7/16,0.935,1  1/8 ,  3/4 ,9.15,27.1,171.0,38.8,35.0,4.19,36.6,14.0,9.2,1.94,0.583,791,18.5,16.0,7.75,18.9,2.20,9.30,41.9,49.9,6.852470088304735,21.739022526656385,161.66666666666666,1,1
244,W,W10X26,W10X26,F,26.0,7.61,10.3,10  3/8 ,5.77,5  3/4 ,0.260,  1/4 ,  1/8 ,0.440,  7/16,0.740,1  1/16, 11/16,6.56,34.0,144.0,31.3,27.9,4.35,14.1,7.5,4.89,1.36,0.402,345,14.2,9.03,5.98,15.4,1.58,9.86,36.8,42.6,4.803793463966207,14.897337523808941,130.41666666666666,1,1
245,W,W10X22,W10X22,F,22.0,6.49,10.2,10  1/8 ,5.75,5  3/4 ,0.240,  1/4 ,  1/8 ,0.360,  3/8 ,0.660, 15/16,  5/8 ,7.99,36.9,118.0,26.0,23.2,4.27,11.4,6.1,3.97,1.33,0.239,275,14.1,7.32,4.88,12.9,1.55,9.84,36.6,42.4,4.697827431672835,13.740750485593367,108.33333333333333,1,1
246,W,W10X19,W10X19,F,19.0,5.62,10.2,10  1/4 ,4.02,4      ,0.250,  1/4 ,  1/8 ,0.395,  3/8 ,0.695, 15/16,  5/8 ,5.09,35.4,96.3,21.6,18.8,4.14,4.29,3.35,2.14,0.8740000000000001,0.233,104,9.85,3.91,3.65,10.6,1.06,9.81,31.5,35.5,3.0871437408135773,9.707826543656356,90.0,1,1
247,W,W10X17,W10X17,F,17.0,4.99,10.1,10  1/8 ,4.01,4      ,0.240,  1/4 ,  1/8 ,0.330,  5/16,0.630,  7/8 ,  9/16,6.08,36.9,81.9,18.7,16.2,4.05,3.56,2.8,1.78,0.845,0.156,85.1,9.79,3.24,3.04,9.14,1.04,9.77,31.2,35.2,2.9847099095966505,9.133822868996086,77.91666666666667,1,1
248,W,W10X15,W10X15,F,15.0,4.41,9.99,10      ,4.00,4      ,0.230,  1/4 ,  1/8 ,0.270,  1/4 ,0.570, 13/16,  9/16,7.41,38.5,68.9,16.0,13.8,3.95,2.89,2.3,1.45,0.81,0.104,68.3,9.73,2.63,2.48,7.83,1.01,9.72,31.0,35.0,2.86108287192105,8.587040118679937,66.66666666666667,1,1
250,W,W8X67,W8X67,F,67.0,19.7,9.00,9      ,8.28,8  1/4 ,0.570,  9/16,  5/16,0.935, 15/16,1.33,1  5/8 , 15/16,4.43,11.1,272.0,70.1,60.4,3.72,88.6,32.7,21.4,2.12,5.05,1440,16.7,32.3,14.5,34.8,2.43,8.07,41.0,49.3,7.48826628206497,47.615655746760666,292.0833333333333,1,1
251,W,W8X58,W8X58,F,58.0,17.1,8.75,8  3/4 ,8.22,8  1/4 ,0.510,  1/2 ,  1/4 ,0.810, 13/16,1.20,1  1/2 ,  7/8 ,5.07,12.4,228.0,59.8,52.0,3.65,75.1,27.9,18.3,2.1,3.33,1180,16.3,27.2,12.4,29.7,2.39,7.94,40.5,48.7,7.417622260536054,41.60013478703299,249.16666666666666,1,1
252,W,W8X48,W8X48,F,48.0,14.1,8.50,8  1/2 ,8.11,8  1/8 ,0.400,  3/8 ,  3/16,0.685, 11/16,1.08,1  3/8 , 13/16,5.92,15.9,184.0,49.0,43.2,3.61,60.9,22.9,15.0,2.08,1.96,931,15.8,22.0,10.3,24.2,2.35,7.82,39.9,48.0,7.346978239007139,35.216877894714,204.16666666666666,1,1
253,W,W8X40,W8X40,F,40.0,11.7,8.25,8  1/4 ,8.07,8  1/8 ,0.360,  3/8 ,  3/16,0.560,  9/16,0.954,1  1/4 , 13/16,7.21,17.6,146.0,39.8,35.5,3.53,49.1,18.5,12.2,2.04,1.12,726,15.5,17.5,8.30,19.7,2.31,7.69,39.3,47.4,7.20569019594931,29.921564316949087,165.83333333333331,1,1
254,W,W8X35,W8X35,F,35.0,10.3,8.12,8  1/8 ,8.02,8      ,0.310,  5/16,  3/16,0.495,  1/2 ,0.889,1  3/16, 13/16,8.10,20.5,127.0,34.7,31.2,3.51,42.6,16.1,10.6,2.03,0.769,619,15.3,15.2,7.28,17.1,2.28,7.63,39.0,47.0,7.170368185184851,26.97157401447345,144.58333333333334,1,1
